PLAYER,POSITION,TEAM,SALARY
Montrezl Harrell,PF,Houston Rockets,1
Mason Plumlee,C,Portland Trail Blazers,1.41552
Raul Neto,PG,Utah Jazz,0.9
Joe Young,PG,Indiana Pacers,1.007026
Louis Williams,SG,Los Angeles Lakers,7
Devin Harris,PG,Dallas Mavericks,4.053446
Lavoy Allen,PF,Indiana Pacers,4.05
Al Horford,C,Atlanta Hawks,12
Terrence Ross,SF,Toronto Raptors,3.553917
Otto Porter Jr.,SF,Washington Wizards,4.66296
James Anderson,SG,Sacramento Kings,1.015421
Leandro Barbosa,SG,Golden State Warriors,2.5
Emmanuel Mudiay,PG,Denver Nuggets,3.10224
Tim Duncan,C,San Antonio Spurs,5.25
Wesley Johnson,SF,Los Angeles Clippers,1.100602
Marco Belinelli,SG,Sacramento Kings,6.060606
Joel Embiid,C,Philadelphia 76ers,4.62696
Nik Stauskas,SG,Philadelphia 76ers,2.86944
Jimmer Fredette,PG,New York Knicks,0.874837
Corey Brewer,SG,Houston Rockets,8.229375
Andrew Nicholson,PF,Orlando Magic,2.380593
Blake Griffin,PF,Los Angeles Clippers,18.907726
Michael Carter-Williams,PG,Milwaukee Bucks,2.39904
Noah Vonleh,PF,Portland Trail Blazers,2.63772
C.J. McCollum,SG,Portland Trail Blazers,2.52516
Aaron Harrison,SG,Charlotte Hornets,0.525093
Jerryd Bayless,PG,Milwaukee Bucks,3
Myles Turner,PF,Indiana Pacers,2.35776
Dwyane Wade,SG,Miami Heat,20
Omer Asik,C,New Orleans Pelicans,9.213483
Wilson Chandler,SF,Denver Nuggets,10.449438
Tyler Ennis,PG,Milwaukee Bucks,1.66236
Will Barton,SF,Denver Nuggets,3.533333
David Lee,PF,Dallas Mavericks,15.49368
C.J. Wilcox,SG,Los Angeles Clippers,1.15968
Shane Larkin,PG,Brooklyn Nets,1.5
Mario Hezonja,SG,Orlando Magic,3.74148
Glenn Robinson III,SG,Indiana Pacers,1.1
Solomon Hill,SF,Indiana Pacers,1.35888
Shabazz Muhammad,SF,Minnesota Timberwolves,2.05692
Evan Fournier,SG,Orlando Magic,2.288205
Zoran Dragic,SG,Boston Celtics,1.706225
Bryce Cotton,PG,Phoenix Suns,0.700902
Henry Walker,SF,Miami Heat,1.100602
Frank Kaminsky III,C,Charlotte Hornets,2.61252
Jabari Parker,PF,Milwaukee Bucks,5.15244
